StartTime,EndTime,HydroPowerProduction
26/04/2023 22:22,26/04/2023 22:22,2146.2
26/04/2023 22:25,26/04/2023 22:25,2118.5
26/04/2023 22:28,26/04/2023 22:28,2075.5
26/04/2023 22:31,26/04/2023 22:31,2041.7
26/04/2023 22:34,26/04/2023 22:34,2014.7
26/04/2023 22:37,26/04/2023 22:37,1984.8
26/04/2023 22:40,26/04/2023 22:40,1955.5
26/04/2023 22:43,26/04/2023 22:43,1918.2
26/04/2023 22:46,26/04/2023 22:46,1921.6
26/04/2023 22:49,26/04/2023 22:49,1953.7
26/04/2023 22:52,26/04/2023 22:52,1907
26/04/2023 22:55,26/04/2023 22:55,1890.7
26/04/2023 22:58,26/04/2023 22:58,1880.4
26/04/2023 23:01,26/04/2023 23:01,1825.5
26/04/2023 23:04,26/04/2023 23:04,1822.2
26/04/2023 23:07,26/04/2023 23:07,1794.5
26/04/2023 23:10,26/04/2023 23:10,1779.7
26/04/2023 23:13,26/04/2023 23:13,1778.7
26/04/2023 23:16,26/04/2023 23:16,1782.2
26/04/2023 23:19,26/04/2023 23:19,1750.8
26/04/2023 23:22,26/04/2023 23:22,1725.2
26/04/2023 23:25,26/04/2023 23:25,1680.7
26/04/2023 23:28,26/04/2023 23:28,1667.3
26/04/2023 23:31,26/04/2023 23:31,1652
26/04/2023 23:34,26/04/2023 23:34,1648.8
26/04/2023 23:37,26/04/2023 23:37,1615.7
26/04/2023 23:40,26/04/2023 23:40,1608.8
26/04/2023 23:43,26/04/2023 23:43,1573.3
26/04/2023 23:46,26/04/2023 23:46,1563.8
26/04/2023 23:49,26/04/2023 23:49,1616.2
26/04/2023 23:52,26/04/2023 23:52,1596.2
26/04/2023 23:55,26/04/2023 23:55,1562.2
26/04/2023 23:58,26/04/2023 23:58,1521
27/04/2023 00:01,27/04/2023 00:01,1443.7
27/04/2023 00:04,27/04/2023 00:04,1478.8
27/04/2023 00:07,27/04/2023 00:07,1496.7
27/04/2023 00:10,27/04/2023 00:10,1463.2
27/04/2023 00:13,27/04/2023 00:13,1418.8
27/04/2023 00:16,27/04/2023 00:16,1400.2
27/04/2023 00:19,27/04/2023 00:19,1381.7
27/04/2023 00:22,27/04/2023 00:22,1361.5
27/04/2023 00:25,27/04/2023 00:25,1349.5
27/04/2023 00:28,27/04/2023 00:28,1326.7
27/04/2023 00:31,27/04/2023 00:31,1291.8
27/04/2023 00:34,27/04/2023 00:34,1253.2
27/04/2023 00:37,27/04/2023 00:37,1240.5
27/04/2023 00:40,27/04/2023 00:40,1217.8
27/04/2023 00:43,27/04/2023 00:43,1216.7
27/04/2023 00:46,27/04/2023 00:46,1231.7
27/04/2023 00:49,27/04/2023 00:49,1228.3
27/04/2023 00:52,27/04/2023 00:52,1227.3
27/04/2023 00:55,27/04/2023 00:55,1212.5
27/04/2023 00:58,27/04/2023 00:58,1191
27/04/2023 01:01,27/04/2023 01:01,1162.8
27/04/2023 01:04,27/04/2023 01:04,1141
27/04/2023 01:07,27/04/2023 01:07,1125.9
27/04/2023 01:10,27/04/2023 01:10,1094.1
27/04/2023 01:13,27/04/2023 01:13,1071
27/04/2023 01:16,27/04/2023 01:16,1066.7
27/04/2023 01:19,27/04/2023 01:19,1034.7
27/04/2023 01:22,27/04/2023 01:22,1019.8
27/04/2023 01:25,27/04/2023 01:25,1041.2
27/04/2023 01:28,27/04/2023 01:28,1035.2
27/04/2023 01:31,27/04/2023 01:31,1031.5
27/04/2023 01:34,27/04/2023 01:34,1001.5
27/04/2023 01:37,27/04/2023 01:37,1005
27/04/2023 01:40,27/04/2023 01:40,978.02
27/04/2023 01:43,27/04/2023 01:43,948.57
27/04/2023 01:46,27/04/2023 01:46,955.5
27/04/2023 01:49,27/04/2023 01:49,999.18
27/04/2023 01:52,27/04/2023 01:52,986.51
27/04/2023 01:55,27/04/2023 01:55,967.67
27/04/2023 01:58,27/04/2023 01:58,923.35
27/04/2023 02:01,27/04/2023 02:01,945.33
27/04/2023 02:04,27/04/2023 02:04,1035.5
27/04/2023 02:07,27/04/2023 02:07,1007.2
27/04/2023 02:10,27/04/2023 02:10,974.35
27/04/2023 02:13,27/04/2023 02:13,958.84
27/04/2023 02:16,27/04/2023 02:16,931.67
27/04/2023 02:19,27/04/2023 02:19,922.17
27/04/2023 02:22,27/04/2023 02:22,921.84
27/04/2023 02:25,27/04/2023 02:25,926.16
27/04/2023 02:28,27/04/2023 02:28,923.81
27/04/2023 02:31,27/04/2023 02:31,956.99
27/04/2023 02:34,27/04/2023 02:34,963.34
27/04/2023 02:37,27/04/2023 02:37,968
27/04/2023 02:40,27/04/2023 02:40,955.34
27/04/2023 02:43,27/04/2023 02:43,959.81
27/04/2023 02:46,27/04/2023 02:46,963.83
27/04/2023 02:49,27/04/2023 02:49,959.34
27/04/2023 02:52,27/04/2023 02:52,944.68
27/04/2023 02:55,27/04/2023 02:55,922.53
27/04/2023 02:58,27/04/2023 02:58,905.34
27/04/2023 03:01,27/04/2023 03:01,918.98
27/04/2023 03:04,27/04/2023 03:04,961.33
27/04/2023 03:07,27/04/2023 03:07,971.5
27/04/2023 03:10,27/04/2023 03:10,949.84
27/04/2023 03:13,27/04/2023 03:13,943.32
27/04/2023 03:16,27/04/2023 03:16,929
27/04/2023 03:19,27/04/2023 03:19,936.33
27/04/2023 03:22,27/04/2023 03:22,946.5
27/04/2023 03:25,27/04/2023 03:25,958.15
27/04/2023 03:28,27/04/2023 03:28,974.65
27/04/2023 03:31,27/04/2023 03:31,989.82
27/04/2023 03:34,27/04/2023 03:34,985.34
27/04/2023 03:37,27/04/2023 03:37,981.17
27/04/2023 03:40,27/04/2023 03:40,992.83
