StartTime,EndTime,WindPowerGeneration
12/02/2023 06:00,12/02/2023 07:00,2875
12/02/2023 07:00,12/02/2023 08:00,3522
12/02/2023 08:00,12/02/2023 09:00,3776
12/02/2023 09:00,12/02/2023 10:00,3912
12/02/2023 10:00,12/02/2023 11:00,3927
12/02/2023 11:00,12/02/2023 12:00,3976
12/02/2023 12:00,12/02/2023 13:00,4055
12/02/2023 13:00,12/02/2023 14:00,3978
12/02/2023 14:00,12/02/2023 15:00,4096
12/02/2023 15:00,12/02/2023 16:00,4339
12/02/2023 16:00,12/02/2023 17:00,4498
12/02/2023 17:00,12/02/2023 18:00,4597
12/02/2023 18:00,12/02/2023 19:00,4619
12/02/2023 19:00,12/02/2023 20:00,4639
12/02/2023 20:00,12/02/2023 21:00,4663
12/02/2023 21:00,12/02/2023 22:00,4657
12/02/2023 22:00,12/02/2023 23:00,4637
12/02/2023 23:00,13/02/2023 00:00,4658
13/02/2023 00:00,13/02/2023 01:00,4664
13/02/2023 01:00,13/02/2023 02:00,4667
13/02/2023 02:00,13/02/2023 03:00,4662
13/02/2023 03:00,13/02/2023 04:00,4650
13/02/2023 04:00,13/02/2023 05:00,4654
13/02/2023 05:00,13/02/2023 06:00,4664
13/02/2023 06:00,13/02/2023 07:00,4663
13/02/2023 07:00,13/02/2023 08:00,4656
13/02/2023 08:00,13/02/2023 09:00,4634
13/02/2023 09:00,13/02/2023 10:00,4636
13/02/2023 10:00,13/02/2023 11:00,4600
13/02/2023 11:00,13/02/2023 12:00,4516
13/02/2023 12:00,13/02/2023 13:00,4524
13/02/2023 13:00,13/02/2023 14:00,4490
13/02/2023 14:00,13/02/2023 15:00,4485
13/02/2023 15:00,13/02/2023 16:00,4518
13/02/2023 16:00,13/02/2023 17:00,4580
13/02/2023 17:00,13/02/2023 18:00,4579
13/02/2023 18:00,13/02/2023 19:00,4598
13/02/2023 19:00,13/02/2023 20:00,4616
13/02/2023 20:00,13/02/2023 21:00,4621
13/02/2023 21:00,13/02/2023 22:00,4561
13/02/2023 22:00,13/02/2023 23:00,4494
13/02/2023 23:00,14/02/2023 00:00,4398
14/02/2023 00:00,14/02/2023 01:00,4318
14/02/2023 01:00,14/02/2023 02:00,3932
14/02/2023 02:00,14/02/2023 03:00,3436
14/02/2023 03:00,14/02/2023 04:00,2681
14/02/2023 04:00,14/02/2023 05:00,1757
14/02/2023 05:00,14/02/2023 06:00,1009
14/02/2023 06:00,14/02/2023 07:00,517
14/02/2023 07:00,14/02/2023 08:00,344
14/02/2023 08:00,14/02/2023 09:00,641
14/02/2023 09:00,14/02/2023 10:00,1267
14/02/2023 10:00,14/02/2023 11:00,1800
14/02/2023 11:00,14/02/2023 12:00,2076
14/02/2023 12:00,14/02/2023 13:00,1839
14/02/2023 13:00,14/02/2023 14:00,1380
14/02/2023 14:00,14/02/2023 15:00,1119
14/02/2023 15:00,14/02/2023 16:00,979
14/02/2023 16:00,14/02/2023 17:00,1022
14/02/2023 17:00,14/02/2023 18:00,1090
14/02/2023 18:00,14/02/2023 19:00,1301
14/02/2023 19:00,14/02/2023 20:00,1536
14/02/2023 20:00,14/02/2023 21:00,1594
14/02/2023 21:00,14/02/2023 22:00,1483
14/02/2023 22:00,14/02/2023 23:00,1346
