StartTime,EndTime,WindPowerGeneration
08/04/2023 18:00,08/04/2023 19:00,191
08/04/2023 19:00,08/04/2023 20:00,192
08/04/2023 20:00,08/04/2023 21:00,320
08/04/2023 21:00,08/04/2023 22:00,419
08/04/2023 22:00,08/04/2023 23:00,486
08/04/2023 23:00,09/04/2023 00:00,532
09/04/2023 00:00,09/04/2023 01:00,580
09/04/2023 01:00,09/04/2023 02:00,612
09/04/2023 02:00,09/04/2023 03:00,651
09/04/2023 03:00,09/04/2023 04:00,740
09/04/2023 04:00,09/04/2023 05:00,803
09/04/2023 05:00,09/04/2023 06:00,951
09/04/2023 06:00,09/04/2023 07:00,1020
09/04/2023 07:00,09/04/2023 08:00,1046
09/04/2023 08:00,09/04/2023 09:00,838
09/04/2023 09:00,09/04/2023 10:00,413
09/04/2023 10:00,09/04/2023 11:00,136
09/04/2023 11:00,09/04/2023 12:00,138
09/04/2023 12:00,09/04/2023 13:00,262
09/04/2023 13:00,09/04/2023 14:00,332
09/04/2023 14:00,09/04/2023 15:00,370
09/04/2023 15:00,09/04/2023 16:00,372
09/04/2023 16:00,09/04/2023 17:00,404
09/04/2023 17:00,09/04/2023 18:00,432
09/04/2023 18:00,09/04/2023 19:00,435
09/04/2023 19:00,09/04/2023 20:00,531
09/04/2023 20:00,09/04/2023 21:00,980
09/04/2023 21:00,09/04/2023 22:00,1604
09/04/2023 22:00,09/04/2023 23:00,2125
09/04/2023 23:00,10/04/2023 00:00,2301
10/04/2023 00:00,10/04/2023 01:00,2295
10/04/2023 01:00,10/04/2023 02:00,2171
10/04/2023 02:00,10/04/2023 03:00,1954
10/04/2023 03:00,10/04/2023 04:00,1809
10/04/2023 04:00,10/04/2023 05:00,1688
10/04/2023 05:00,10/04/2023 06:00,1530
10/04/2023 06:00,10/04/2023 07:00,1129
10/04/2023 07:00,10/04/2023 08:00,731
10/04/2023 08:00,10/04/2023 09:00,420
10/04/2023 09:00,10/04/2023 10:00,130
10/04/2023 10:00,10/04/2023 11:00,31
10/04/2023 11:00,10/04/2023 12:00,37
10/04/2023 12:00,10/04/2023 13:00,136
10/04/2023 13:00,10/04/2023 14:00,223
10/04/2023 14:00,10/04/2023 15:00,265
10/04/2023 15:00,10/04/2023 16:00,242
10/04/2023 16:00,10/04/2023 17:00,227
10/04/2023 17:00,10/04/2023 18:00,153
10/04/2023 18:00,10/04/2023 19:00,106
10/04/2023 19:00,10/04/2023 20:00,71
10/04/2023 20:00,10/04/2023 21:00,256
10/04/2023 21:00,10/04/2023 22:00,497
